doc_id,notice_code,notice_family,title,source_url,source_origin,source_format,heading_structure_present,verified_loaded,retrieved_at,priority_tier,download_status,cleaned_character_count,headings_found,content_hash
irs_cp01,CP01,identity_security,Understanding your CP01 notice,https://www.irs.gov/individuals/understanding-your-cp01-notice,IRS,html,yes,yes,2026-08-21,general,downloaded,5549,13,8ebc2f265f1c3447b5eebc2831944b9d69f1856088527e5c04c475b07155b874
irs_cp01a,CP01A,identity_security,Understanding your CP01A notice,https://www.irs.gov/individuals/understanding-your-cp01a-notice,IRS,html,yes,yes,2026-08-21,general,downloaded,4650,10,f45d0a569c3a119e3784d064ac2d228e1b0e0bfa2ce3a99aabcbafd515c8013d
irs_cp01c,CP01C,identity_security,Understanding your CP01C notice,https://www.irs.gov/individuals/understanding-your-cp01c-notice,IRS,html,yes,yes,2026-08-21,general,downloaded,4972,7,937975cd0692a574938d869346f14129ae8d78aa3164591103b01d754903b04a
irs_cp01e,CP01E,identity_security,Understanding your CP01E notice,https://www.irs.gov/individuals/understanding-your-cp01e-notice,IRS,html,yes,yes,2026-08-21,general,downloaded,7601,6,d5bb24e86bf20708acb880ffea36f7d5de7159dfc67f5eaca711e78e22a7e483
irs_cp01h,CP01H,identity_security,Understanding your CP01H notice,https://www.irs.gov/individuals/understanding-your-cp01h-notice,IRS,html,yes,yes,2026-08-21,general,downloaded,2959,7,f0fd79fe28f8ee259649dc075af5016e2ae460003f55eee9a202e31ffadabdda
irs_cp01s,CP01S,identity_security,Understanding your CP01S notice,https://www.irs.gov/individuals/understanding-your-cp01s-notice,IRS,html,yes,yes,2026-08-21,general,downloaded,3774,4,6da9e1313728c89e544f1ff42616ab7192a3e7a8c7ef44faf95a37433a055eb5
irs_cp02,CP02,credit_eligibility,Understanding your CP02 notice,https://www.irs.gov/individuals/understanding-your-cp02-notice,IRS,html,yes,yes,2026-08-21,general,downloaded,4010,10,872f409aaaeaf0656742f006e01a9bb8f8303c66b78df483132218c0fb591c10
irs_cp03,CP03,credit_eligibility,Understanding your CP03 notice,https://www.irs.gov/individuals/understanding-your-cp03-notice,IRS,html,yes,yes,2026-08-21,general,downloaded,5569,5,ed9f2e2ac56878de1ca2e3412aab2f5a1c7bebf5f5bfc6ae573f08c6af9153c9
irs_cp05,CP05,return_review,Understanding your CP05 notice,https://www.irs.gov/individuals/understanding-your-cp05-notice,IRS,html,yes,yes,2026-08-21,general,downloaded,3200,9,c85440743b05d8b537e6e3c48f1e18cf99a60ee8ac8f8e26b73c28e6c646a124
irs_cp05a,CP05A,return_review,Understanding your CP05A notice,https://www.irs.gov/individuals/understanding-your-cp05a-notice,IRS,html,yes,yes,2026-08-21,general,downloaded,4834,13,0a27567c8ebf9964feacbb9389be3647d794ffc08ab1f62baae5c46af8743368
irs_cp05b,CP05B,return_review,Understanding your CP05B notice,https://www.irs.gov/individuals/understanding-your-cp05b-notice,IRS,html,yes,yes,2026-08-21,general,downloaded,4937,10,5c1467194885b16b058da9e058fb5ca79be1fce4df0faeffad96acc591c02f66
irs_cp06_cp06a,CP06/CP06A,audit_credit_review,Understanding your CP06/CP06A notice,https://www.irs.gov/individuals/understanding-your-cp06-cp06a-notice,IRS,html,yes,yes,2026-08-21,general,downloaded,6634,15,c8f8404769e890fa96c8d8be7af2600b9675a25f607a9d0709d39032b50ecf76
irs_cp11,CP11,return_adjustment,Understanding your CP11 notice,https://www.irs.gov/individuals/understanding-your-cp11-notice,IRS,html,yes,yes,2026-08-21,general,downloaded,6024,10,81533682e49bfe16266619fe75006504854a89cfe00313dd8527fb8fa14063df
irs_cp12,CP12 series,return_adjustment,Understanding your CP12 notice,https://www.irs.gov/individuals/understanding-your-cp12-notice,IRS,html,yes,yes,2026-08-21,general,downloaded,5275,8,25916f2507cf33c5be26f99e3067019db9209ea236bb69885c2cd398e392e260
irs_cp12g_cp12u,CP12G/CP12U,return_adjustment,Understanding your CP12G or CP12U notice,https://www.irs.gov/individuals/understanding-your-cp12g-or-cp12u-notice,IRS,html,yes,yes,2026-08-21,general,downloaded,3965,10,01bb6834fa4ec05e1ef731fed22de15a13f9db9f66ecfdf17eb3c03a95d0cd74
irs_cp13,CP13,return_adjustment,Understanding your CP13 notice,https://www.irs.gov/individuals/understanding-your-cp13-notice,IRS,html,yes,yes,2026-08-21,general,downloaded,4975,8,a0c58d04b87b5335deaa616123fb7f9756953c106835847b4d7e292a367a6573
irs_cp14,CP14,balance_collection,Understanding your CP14 notice,https://www.irs.gov/individuals/understanding-your-cp14-notice,IRS,html,yes,yes,2026-08-21,core,downloaded,4891,8,78ce18b8e47f5a4969c04b7e64a488f62f83ca0f99af653210cf3f7cd16ab979
irs_cp16,CP16,refund_offset,Understanding your CP16 notice,https://www.irs.gov/individuals/understanding-your-cp16-notice,IRS,html,yes,yes,2026-08-21,general,downloaded,6217,12,15787a709727165f5087d4c40dab2dbd0c3186b3ac00a7a287ca8b6c0300ef51
irs_cp24,CP24 series,return_adjustment,Understanding your CP24 notice,https://www.irs.gov/individuals/understanding-your-cp24-notice,IRS,html,yes,yes,2026-08-21,general,downloaded,6155,15,00dc7b34a0fe1f3ea6729365de37000c5893e3622ea8400920182ff79b0369f5
irs_cp30,CP30,penalty_estimated_tax,Understanding your CP30 notice,https://www.irs.gov/individuals/understanding-your-cp30-notice,IRS,html,yes,yes,2026-08-21,general,downloaded,5253,11,189303de231f9970a47bcc30aa93cc21f0f70242d111cebce00663fdb767b88d
irs_cp44,CP44,refund_offset_review,Understanding your CP44 notice,https://www.irs.gov/individuals/understanding-your-cp44-notice,IRS,html,yes,yes,2026-08-21,general,downloaded,1934,8,44ef1e156cc1071fa79ad405754be0f1f087e6e48c02318ed287b9613a5814fb
